"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-details\user-details.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-details\user-details.component.ts", "TypeScript", 0, 46, 0, 0, 11, 57
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-info-page.component.html", "HTML", 26, 0, 0, 12, 8, 46
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-info-page.component.scss", "SCSS", 0, 0, 149, 11, 35, 195
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-info-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-info-page.component.ts", "TypeScript", 0, 100, 0, 39, 31, 170
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-onboarding\user-onboarding.component.html", "HTML", 15, 0, 0, 2, 3, 20
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-onboarding\user-onboarding.component.scss", "SCSS", 0, 0, 6, 0, 1, 7
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-onboarding\user-onboarding.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\user-onboarding\user-onboarding.component.ts", "TypeScript", 0, 30, 0, 1, 8, 39
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\workers-page\workers-page.component.html", "HTML", 76, 0, 0, 45, 16, 137
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\workers-page\workers-page.component.scss", "SCSS", 0, 0, 21, 1, 9, 31
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\workers-page\workers-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\workers-page\workers-page.component.ts", "TypeScript", 0, 90, 0, 18, 27, 135
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\environments\environment.prod.ts", "TypeScript", 0, 11, 0, 0, 2, 13
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\environments\environment.ts", "TypeScript", 0, 11, 0, 20, 8, 39
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\index.html", "HTML", 18, 0, 0, 0, 1, 19
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\main.ts", "TypeScript", 0, 9, 0, 0, 4, 13
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\polyfills.ts", "TypeScript", 0, 2, 0, 50, 6, 58
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\styles.scss", "SCSS", 0, 0, 2, 0, 3, 5
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\test.ts", "TypeScript", 0, 18, 0, 4, 5, 27
"Total", "-", 940, 2309, 941, 471, 985, 5646
